job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred
https://rejobs.org/en/renewable-energy-jobs/110426-field-sales-consultant-sunrun,rejobs,Field Sales Consultant,Sunrun,"Palm Springs, California, United States",Join Sunrun as a Field Sales Consultant in California!,NOT_SPECIFIED,Photovoltaic Systems | Solar Installation | Energy Access | Retail Sales | Sales and Marketing | Customer Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/111249-corporate-governance-officer-elia-grid-international,rejobs,Corporate Governance Officer,Elia Grid International,"Brussels, Belgium","Join Elia Grid International as a Corporate Governance Officer in Brussels, Belgium.",NOT_SPECIFIED,Grid Integration | Asset Management | Project Management | Quality Control | Compliance | Energy Governance,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109578-electrical-maintenance-technician-ameresco,rejobs,Electrical Maintenance Technician,Ameresco,"Aiken, South Carolina, United States","Join Ameresco as an Electrical Maintenance Technician in Aiken, SC!",NOT_SPECIFIED,Power Systems | Water Management | Preventive Maintenance | Safety Management | Electrical Engineering,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109817-labor-compliance-coordinator-signal-energy-llc,rejobs,Labor Compliance Coordinator,Signal Energy LLC,"Houston, Texas, United States","Join Signal Energy as a Labor Compliance Coordinator in Houston, Texas!",NOT_SPECIFIED,Energy Policy | Regulatory Compliance | Payroll Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/110073-biz-ops-axle-energy,rejobs,Biz Ops,Axle Energy,"London, United Kingdom","Join Axle Energy as a Biz Ops in London, UK, and drive commercial operations in the renewable energy sector.",NOT_SPECIFIED,Climate Adaptation | Energy Access | Energy Policy | Business Development,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109924-commercial-modeller-elgin-energy,rejobs,Commercial Modeller,Elgin Energy,"London, United Kingdom",Join Elgin Energy as a Commercial Modeller in London!,NOT_SPECIFIED,Energy Due Diligence | Energy Economics | Analytics | Business Development,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109580-financial-modeller-mwd-baywa-re,rejobs,Financial Modeller (m/w/d),BayWa r.e.,"Freiburg, Germany",Join BayWa r.e. as a Financial Modeller in Germany!,NOT_SPECIFIED,Energy Asset Valuation | Project Finance | Energy Economics | Financial Services,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/110065-open-opportunities-greenlancer,rejobs,Open Opportunities,GreenLancer,"Detroit, United States","Join GreenLancer in Detroit, USA, to drive clean energy innovation.",NOT_SPECIFIED,Clean Energy Innovation | Sustainability | Sales and Marketing | Operations Management | Customer Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109940-kite-operator-kitepower,rejobs,Kite Operator,Kitepower,"Delft, the Netherlands","Join Kitepower as a Kite Operator in Delft, Netherlands or Ireland. Support flight operations and work outdoors.",NOT_SPECIFIED,Offshore Wind Energy | Onshore Wind Energy | Turbine Operations | Wind Farms | Wind O&M | Wind Resource Assessment | Safety Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109427-renewable-power-from-start-to-finish-statkraft,rejobs,Renewable Power from Start to Finish,Statkraft,Germany,"Join Statkraft in Germany, Norway, or Brazil to shape the energy transition.",NOT_SPECIFIED,Energy Policy | Sales and Marketing | Business Development | Customer Management | Partnership Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/110308-operations-maintenance-technician-ormat-technologies,rejobs,Operations & Maintenance Technician,Ormat Technologies,"Brawley, California, United States","Join Ormat Technologies as an Operations & Maintenance Technician in Brawley, California.",NOT_SPECIFIED,Battery Management Systems | Battery Technology | Distributed Energy Resources | Preventive Maintenance | Safety Management | Operations Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/109330-field-sales-consultant-sunrun,rejobs,Field Sales Consultant,Sunrun,"Danvers, Massachusetts, United States","Join Sunrun as a Field Sales Consultant in Danvers, MA, and drive solar sales!",NOT_SPECIFIED,Solar Installation | Energy Access | Retail Sales | Sales and Marketing | Customer Management,rejobs_evp.csv,NOT_SPECIFIED
https://rejobs.org/en/renewable-energy-jobs/110047-data-scientist-brill-power,rejobs,Data Scientist,Brill Power,"Oxford, United Kingdom","Join Brill Power as a Data Scientist in Oxford, UK, focusing on battery analytics.",NOT_SPECIFIED,Battery Technology | Power Electronics | Predictive Models | Battery Management Systems,rejobs_evp.csv,NOT_SPECIFIED
