job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred
https://energyjobsearch.com/jobs/general-management/1305446,energyjobsearch,Manager Technology Project Management,Johnson and Johnson,"Nijmegen, Gelderland, Netherlands","At Johnson & Johnson, we believe health is everything. Our strength in healthcare innovation empowers us to build a world where complex diseases are prevented, treated, and cured, where treatments ...",NOT_APPLICABLE,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/general-management/1305384,energyjobsearch,IT Project Manager- Contract,Sword Group,"Aberdeen, Scotland, United Kingdom","Sword is a leading provider of business technology solutions within the Energy, Public and Finance Sectors, driving transformational change within our clients. We use proven technology, specialist ...",NOT_APPLICABLE,GENERAL_MANAGEMENT | CONTRACT_FREELANCE_SELF_EMPLOYED,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305329,energyjobsearch,Tax Intern,Schlumberger,"Douala, Cameroon","About SLB We are a global technology company, driving energy innovation for a balanced planet. Together, we create amazing technology that unlocks access to energy for the benefit of all. ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,INTERNSHIP
https://energyjobsearch.com/jobs/engineering/1305313,energyjobsearch,Process Field Engineer - Midstream,Schlumberger,"Luanda, Angola","About SLB We are a global technology company, driving energy innovation for a balanced planet. Together, we create amazing technology that unlocks access to energy for the benefit of all. ...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL
https://energyjobsearch.com/jobs/technicians-service/1305289,energyjobsearch,Laboratory Technician/Supervisor,Schlumberger,"Baku, Azerbaijan","About SLB We are a global technology company, driving energy innovation for a balanced planet. Together, we create amazing technology that unlocks access to energy for the benefit of all....",NOT_APPLICABLE,TECHNICIANS_SERVICE | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305292,energyjobsearch,GBS Onboarding/Offboarding Specialist,Schlumberger,"Bogota, D.C., Colombia","We are SLB At SLB we create amazing technology that unlocks access to energy for the benefit of all. As innovators, that's been our mission for 100 years. We are facing the world's greatest bal...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1205020,energyjobsearch,Manufacturing Intern,ABB,"Apodaca, Nuevo Leon, Mexico","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1283226,energyjobsearch,Disaster Recovery Coordinator - with French,Engie,"Targu Mures, Romania","DISASTER RECOVERY COORDINATOR WITH FRENCH BUCHAREST One of the world's leading energy companies, ENGIE is present across the entire energy chain, in electricity and natural gas, from upstream...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1283230,energyjobsearch,Change Manager - with French,Engie,"Targu Mures, Romania","Change Manager - fixed term contract (2 years) One of the world's leading energy companies, ENGIE is present across the entire energy chain, in electricity and natural gas, from upstream to down...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305267,energyjobsearch,Internship - Business Analyst F/M,Technip Energies Abu Dhabi,"Nanterre, Ile-de-France, France",JOB DESCRIPTION Be part of the solution at Technip Energies and embark on a one-of-a-kind journey. You will be helping to develop cutting-edge solutions to solve real-world energy problems. Ab...,NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,INTERNSHIP
https://energyjobsearch.com/jobs/other/1305215,energyjobsearch,Platearbeidere,Aker Solutions,"Trondheim, Trondelag, Norway",The time for change is now. Are you ready to power the change? I Aker Solutions skaper vi fremtidens energi. Med nesten 200 års erfaring driver vi innovasjon for å gjøre nullutslipp til virkelig...,NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305211,energyjobsearch,Industrimekanikere,Aker Solutions,"Trondheim, Trondelag, Norway",Are you ready to help us reimagine the way technology and energy shape our lives in the future? I Aker Solutions skaper vi fremtidens energi. Med nesten 200 års erfaring driver vi innovasjon for...,NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305107,energyjobsearch,Supplier Quality Engineer,Spencer Ogden,"Stafford, England, United Kingdom",A leading global engineering organisation operating at the forefront of the energy transition and advanced power infrastructure is seeking an experienced Supplier Quality Engineer to support large-...,NOT_APPLICABLE,OTHER | CONTRACT_FREELANCE_SELF_EMPLOYED,energyjobsearch_evp.csv,MID_LEVEL
https://energyjobsearch.com/jobs/other/1305196,energyjobsearch,Cash Management Analyst,bp,"Budapest, Budapest, Hungary","Job Description: Our purpose is to deliver energy to the world, today and tomorrow. For over 100 years, bp has focused on discovering, developing, and producing oil and gas in the nations where...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305191,energyjobsearch,Scientist-DNA extraction and sequencing,bp,"San Diego, California, United States","Job Description: About us Our purpose is to bring together people, energy and markets to power and navigate a changing world. In a time of constant change and possibility we need new talent to ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305188,energyjobsearch,Staff Technical Programme Manager,bp,"Sunbury on Thames, England, United Kingdom","Job Description: Job Description Our purpose is to bring together people, energy and markets to power and navigate a changing world. In a time of constant change and possibility we need new ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305200,energyjobsearch,Statutory & Tax SME (fixed term till August 2028),bp,"Budapest, Budapest, Hungary","Job Description: Our purpose is to deliver energy to the world, today and tomorrow. For over 100 years, bp has focused on discovering, developing, and producing oil and gas in the nations where...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305197,energyjobsearch,Excellence Manager,bp,"Houston, Texas, United States","Job Description: About Archaea bp is committed to investing in lower carbon energy so we can meet our ambition to reach net zero by 2050. And while we're still mostly in oil and gas today, b...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305198,energyjobsearch,Strategic Sourcing Manager,bp,"Houston, Texas, United States","Job Description: About Archaea bp is committed to investing in lower carbon energy so we can meet our ambition to reach net zero by 2050. And while we're still mostly in oil and gas today, b...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305254,energyjobsearch,APAC Integrity Investigator,ABB,"Beijing, China","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305245,energyjobsearch,Senior TCMS Engineer,ABB,"Bengaluru, Karnataka, India","At ABB, we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and he...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305241,energyjobsearch,Enterprise Architecture Practice & Governance Lead,ABB,"Bengaluru, Karnataka, India","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305173,energyjobsearch,"Монтажник, електрооборудване",ABB,"Kaloyanovo, Bulgaria","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305176,energyjobsearch,Quality System Manager,ABB,"Skien, Telemark, Norway","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
