job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred
https://rejobs.org/en/renewable-energy-jobs/97485-principal-mechanical-engineer-afry-manchester-united-kingdom,rejobs,Principal Mechanical Engineer,AFRY,,Join AFRY as a Principal Mechanical Engineer in the UK.,SENIOR,Thermal Energy | Project Management | Mechanical Engineering | Energy Management,rejobs_evp.csv,SENIOR
https://rejobs.org/en/renewable-energy-jobs/112812-specialist-travel-technician-orsted,rejobs,Specialist Travel Technician,Ørsted,,Specialist Travel Technician at Ørsted in UK and Denmark.,SENIOR,Turbine Operations | Offshore Wind Energy | Wind Resource Assessment | Wind Turbine Technician | Human Resources | ISO Compliance | Technical Support,rejobs_evp.csv,SENIOR
https://rejobs.org/en/renewable-energy-jobs/112999-phd-thermoelectric-cooling-solutions-for-active-thermal-management-of-photonic-integrated-circuits-tyndall-national-institute,rejobs,PhD - Thermoelectric cooling solutions for active thermal management of photonic integrated circuits,Tyndall National Institute,,"PhD at Tyndall Institute, Cork on thermoelectric cooling for photonics.",INTERNSHIP,Photovoltaics | Thermal Energy | Energy Management | Materials Engineering,rejobs_evp.csv,INTERNSHIP
https://rejobs.org/en/renewable-energy-jobs/112692-principal-pgd-safety-specialist-nextera-energy,rejobs,Principal PGD Safety Specialist,NextEra Energy,,Principal PGD Safety Specialist at NextEra Energy in Florida or Iowa.,SENIOR,Health & Safety | Safety Management | Power Systems | Regulatory Compliance | Workforce Development,rejobs_evp.csv,SENIOR
