job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred,expert_role,expert_role_score,expert_role_reason
https://energyjobsearch.com/jobs/general-management/1309183,energyjobsearch,Project Manager- Infrastructure,ASSYSTEM,"Quwayiyah, Saudi Arabia","Company Description Finding solutions to climate change is the priority of the 21st century, and means switching to low-carbon energy. At Assystem, our mission is to accelerate the energy transi...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/general-management/1308946,energyjobsearch,Energy Project Manager,West Midlands Combined Authority,"Birmingham, England, United Kingdom",Do you want to play a key role in delivering projects that help the West Midlands transition to net zero? We have an excellent opportunity for an Energy Project Manager to join our team within En...,SENIOR,GENERAL_MANAGEMENT | CONTRACT_FREELANCE_SELF_EMPLOYED,energyjobsearch_evp.csv,SENIOR,generalist,4,"project manager, transition"
https://energyjobsearch.com/jobs/general-management/1308900,energyjobsearch,Project Manager Solutions Generation,ZEISS,"Oberkochen, Baden-Wurttemberg, Germany","Tätigkeitsbeschreibung ZEISS Semiconductor Manufacturing Technology Enabler for smaller, more powerful, and more energy-efficient microchips Work where tomorrow is created. Around 80 percent of...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/consulting/1308846,energyjobsearch,Senior Consultant Project Manager,AtkinsRéalis,"Manchester, England, United Kingdom",Job Description Overview Empowering projects in a complex world. You might know us for the great work we do across our wide variety of projects. We're proud to say it's thanks to our peo...,SENIOR,CONSULTING | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,4,"consultant, project manager"
https://energyjobsearch.com/jobs/consulting/1308842,energyjobsearch,Assistant Consultant Project Manager,AtkinsRéalis,"Manchester, England, United Kingdom","Job Description Overview Empowering projects in a complex world. Join our organisation, where we have a huge variety of projects on-the-go at any one time. So when you start this role wi...",MID_LEVEL,CONSULTING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL,generalist,4,"consultant, project manager"
https://energyjobsearch.com/jobs/general-management/1308682,energyjobsearch,Project Manager - Data Centres,CSG,"Paris, Ile-de-France, France","CSG Talent are currently partnered with a global player operating in construction, energy, telecoms and media who are currently seeking a Design Manager to join their team in France. Role Overview ...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/engineering/1308643,energyjobsearch,Energy Data Portfolio Analyst - TotalEnergies,Total Energies,"Madrid, Community of Madrid, Spain",Context & Environment We are committed to meet the energy needs of a growing population and we are committed to the energy transition. The volatility of the energy trading markets requires exc...,MID_LEVEL,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL,generalist,3,"analyst, transition"
https://energyjobsearch.com/jobs/consulting/1307894,energyjobsearch,Assistant Consultant Project Manager,AtkinsRéalis,"Manchester, England, United Kingdom","Job Description Overview Empowering projects in a complex world. Join our organisation, where we have a huge variety of projects on-the-go at any one time. So when you start this role wi...",MID_LEVEL,CONSULTING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL,generalist,4,"consultant, project manager"
https://energyjobsearch.com/jobs/general-management/1307401,energyjobsearch,Project Management Senior Specialist - Processes and Tools,Baker Hughes Company,"Florence, Tuscany, Italy","Partner with the best Baker Hughes stands as a leading global energy-technology company, delivering innovative solutions that make energy safer, cleaner, and more efficient across the entire val...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,specialist
https://energyjobsearch.com/jobs/general-management/1267937,energyjobsearch,Data Center Project Manager H/F,"Jones Lang LaSalle IP, Inc.","Paris, Ile-de-France, France","JLL empowers you to shape a brighter way . Our people at JLL and JLL Technologies are shaping the future of real estate for a better world by combining world class services, advisory and technol...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
