job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred,expert_role,expert_role_score,expert_role_reason
https://www.euroclimatejobs.com/job_display/287040/Automation_Controls_Engineer_Greenlyte_Carbon_Technologies_Essen_Germany,euroclimatejobs,Automation & Controls Engineer,Greenlyte Carbon Technologies,"Essen, Germany","You’ll play a pivotal role in our Automation & Controls efforts, bringing your expertise to create reliable and scalable control systems that drive efficiency and innovation. Specifically you will...",MID_LEVEL,Carbon Capture and Storage | Energy Engineer,euroclimatejobs_evp.csv,MID_LEVEL,sme,9,"automation, controls, engineer"
https://www.euroclimatejobs.com/job_display/286721/BESS_Project_Engineer_Alpiq_Group_Olten_Switzerland,euroclimatejobs,BESS Project Engineer,Alpiq Group,"Olten, Switzerland","At Alpiq, we are expanding our utilityscale BESS portfolio and are looking for a motivated BESS Project Engineer to help shape the future of our storage projects. In this role, you’ll take the lead on technical due diligence and design reviews, ensuring our BESS construction projects are robust, compliant, and built for longterm performance. You’ll work closely with crossfunctional teams and external experts, making a real impact on strategic investment decisions and successful project delivery.",SENIOR,Electricity | Energy Engineer | Renewable Energy,euroclimatejobs_evp.csv,SENIOR,sme,4,engineer
https://rejobs.org/en/renewable-energy-jobs/113332-investment-associate-in-renewable-energies-encavis,rejobs,Investment Associate in Renewable Energies,ENCAVIS,"Hamburg, Germany","Investment Associate at ENCAVIS in Hamburg, leading renewable deals.",MID_LEVEL,Battery Management Systems | Photovoltaics | Wind Farms | Power Purchase Agreement | Project Finance,rejobs_evp.csv,MID_LEVEL,sme,1,battery
https://rejobs.org/en/renewable-energy-jobs/112939-bess-analyst-design-estimations-bess-manager-design-engineering-cost-estimation-ib-vogt,rejobs,"BESS Analyst (Design & Estimations)/ BESS Manager - Design, Engineering & Cost Estimation",ib vogt,"Gurugram, India","BESS Manager at ib vogt in Gurugram, India.",SENIOR,Battery Technology | Distributed Energy Resources | Hybrid Power Plants | Estimation,rejobs_evp.csv,SENIOR,sme,3,"battery, engineering"
https://rejobs.org/en/renewable-energy-jobs/113045-design-transmission-line-engineer-ulteig,rejobs,Design transmission line engineer,Ulteig,United States,Design Transmission Line Engineer at Ulteig in the US.,MID_LEVEL,High Voltage | Project Management | Utility Management,rejobs_evp.csv,MID_LEVEL,sme,6,"engineer, transmission"
https://rejobs.org/en/renewable-energy-jobs/112885-automation-engineer-semco-maritime,rejobs,Automation Engineer,Semco Maritime,"Esbjerg, Denmark","Automation Engineer at Semco Maritime in Esbjerg, Denmark.",MID_LEVEL,Offshore Engineering | Hybrid Power Plants | Power Electronics | Automated Manufacturing | Control Engineering,rejobs_evp.csv,MID_LEVEL,sme,8,"automation, engineer, engineering, power electronics"
https://rejobs.org/en/renewable-energy-jobs/113007-electrical-application-engineer-mwd-aeg-power-solutions,rejobs,Electrical Application Engineer (m/w/d),AEG Power Solutions,"Belecke, Germany","Electrical Application Engineer at AEG Power Solutions in Belecke, Germany.",MID_LEVEL,Power Electronics | Electrical Engineering | EPC Management | Technical Support,rejobs_evp.csv,MID_LEVEL,sme,9,"electrical, engineer, engineering, power electronics"
https://rejobs.org/en/renewable-energy-jobs/112662-electrical-engineer-edf-energy,rejobs,Electrical Engineer,EDF Energy,"Edinburgh, Scotland, United Kingdom","Electrical Engineer at EDF Energy in Edinburgh, UK.",MID_LEVEL,Onshore Wind Energy | Electrical Engineering | EPC Management | Safety Management,rejobs_evp.csv,MID_LEVEL,sme,8,"electrical, engineer, engineering"
https://rejobs.org/en/renewable-energy-jobs/111690-device-support-engineer-landisgyr,rejobs,Device Support Engineer,Landis+Gyr,"Jyväskylä, Finland","Device Support Engineer at Landis+Gyr in Jyväskylä, Finland.",MID_LEVEL,Metering | Power Electronics | Smart Energy Systems,rejobs_evp.csv,MID_LEVEL,sme,4,"engineer, power electronics"
https://rejobs.org/en/renewable-energy-jobs/112268-associate-data-engineer-arevon-energy-inc,rejobs,"Associate, Data Engineer","Arevon Energy, Inc.","Scottsdale, Arizona, United States","Associate Data Engineer at Arevon Energy in Scottsdale, AZ.",MID_LEVEL,Data | Battery Management Systems | Energy Analytics | Photovoltaic Systems | Performance Management,rejobs_evp.csv,MID_LEVEL,sme,4,"battery, engineer"
https://rejobs.org/en/renewable-energy-jobs/112399-solarbess-technician-spark-power,rejobs,Solar/BESS Technician,Spark Power,"Barrie, Canada","Solar/BESS Technician at Spark Power in Barrie, Canada.",MID_LEVEL,Solar Installation | Battery Management Systems | Battery Technology | Photovoltaic Systems | Power Electronics | Solar O&M,rejobs_evp.csv,MID_LEVEL,sme,2,"battery, power electronics"
https://rejobs.org/en/renewable-energy-jobs/111990-application-engineer-electrical-mwd-aeg-power-solutions,rejobs,Application Engineer Electrical (m/w/d),AEG Power Solutions,Singapore,Application Engineer Electrical at AEG Power Solutions in Singapore.,MID_LEVEL,Quality Assurance | Project Management | Electrical Engineering | Green Hydrogen | Power Electronics,rejobs_evp.csv,MID_LEVEL,sme,9,"electrical, engineer, engineering, power electronics"
https://rejobs.org/en/renewable-energy-jobs/112124-senior-platform-engineer-lunar-energy,rejobs,Senior Platform Engineer,Lunar Energy,"London, United Kingdom","Senior Platform Engineer at Lunar Energy in London, UK.",SENIOR,Cybersecurity | Distributed Energy Resources | Cloud Computing,rejobs_evp.csv,SENIOR,sme,3,engineer
https://rejobs.org/en/renewable-energy-jobs/112405-electrical-technician-contract-commonwealth-fusion-systems,rejobs,Electrical Technician - Contract,Commonwealth Fusion Systems,"Somerville, Massachusetts, United States",Electrical Technician at Commonwealth Fusion Systems in Massachusetts.,MID_LEVEL,Commissioning | Power Electronics | Electrical Engineering,rejobs_evp.csv,NOT_SPECIFIED,sme,6,"electrical, engineering, power electronics"
https://rejobs.org/en/renewable-energy-jobs/112201-computer-graphics-visualization-engineer-thea-energy,rejobs,Computer Graphics & Visualization Engineer,Thea Energy,"Kearny, New Jersey, United States",Join Thea Energy in New Jersey as a Graphics & Visualization Engineer.,MID_LEVEL,Clean Energy Solutions | Engineering Management,rejobs_evp.csv,MID_LEVEL,sme,4,"engineer, engineering"
https://rejobs.org/en/renewable-energy-jobs/110612-senior-strategic-sales-manager-datacenter-power-systems-enphase,rejobs,Senior Strategic Sales Manager - Datacenter Power Systems,Enphase,United States,"Join Enphase as a Senior Strategic Sales Manager in the United States, focusing on datacenter power systems.",SENIOR,Energy Asset Valuation | Power Electronics,rejobs_evp.csv,SENIOR,sme,4,"power electronics, power systems"
https://rejobs.org/en/renewable-energy-jobs/111167-senior-power-systems-engineer-transgrid,rejobs,Senior Power Systems Engineer,TransGrid,"Sydney, Australia",Join TransGrid as a Senior Power Systems Engineer in Australia.,SENIOR,Power Electronics | Project Management,rejobs_evp.csv,SENIOR,sme,7,"engineer, power electronics, power systems"
https://rejobs.org/en/renewable-energy-jobs/110896-electrical-engineer-helion-energy,rejobs,Electrical Engineer,Helion Energy,"Everett, United States","Join Helion Energy as an Electrical Engineer in Everett, WA, and help build the world's first fusion power plant.",MID_LEVEL,Turbine Operations | High Voltage | Power Electronics | Electrical Engineering,rejobs_evp.csv,MID_LEVEL,sme,10,"electrical, engineer, engineering, operations, power electronics"
https://rejobs.org/en/renewable-energy-jobs/110897-electrical-systems-engineer-helion-energy,rejobs,Electrical Systems Engineer,Helion Energy,"Everett, United States","Join Helion Energy as an Electrical Systems Engineer in Everett, WA, and help build the world's first fusion power plant.",MID_LEVEL,Grid Integration | Power Electronics | Electrical Engineering,rejobs_evp.csv,MID_LEVEL,sme,11,"electrical, engineer, engineering, grid, integration, power electronics"
