job_id,title,company,location,posted,summary,job_url,tags,source
288252,Carbon Sales Trader,OTC Flow,"Amsterdam, Netherlands",Posted 9 days ago,"You'll work closely with experienced sales traders, participate in training sessions, and receive ongoing support to fuel your professional growth. This immersive experience at OTC Flow is designed to strengthen your expertise, equipping you with the knowledge and skills necessary to excel in the industry.",https://www.euroclimatejobs.com/job_display/288252/Carbon_Sales_Trader_OTC_Flow_Amsterdam_Netherlands,Carbon Capture and Storage | Environment | Sales and Marketing | Trader,euroclimatejobs
288251,Energy Data Portfolio Analyst,TotalEnergies,"Geneva, Switzerland",Posted 9 days ago,"This fixed-Term contract offers the opportunity to gain a deep understanding of the European energy market structure, collaborate with Front, Middle, Operations, and Back Office teams, and interact with external stakeholders such as system operators. You will strengthen your programming expertise across multiple languages and actively support the migration to next-generation tools and platforms.",https://www.euroclimatejobs.com/job_display/288251/Energy_Data_Portfolio_Analyst_TotalEnergies_Geneva_Switzerland,Business and Finance | Climate and Energy Analyst,euroclimatejobs
288250,"Chief Project Manager, Water Access and Sustainability",Grundfos,"Bjerringbro, Denmark",Posted 9 days ago,"As Chief Project Manager, you will lead the creation and global rollout of performance-based service offerings. You will define the operating model, pilot new approaches, and ensure scalability and impact. This role demands strategic vision, strong stakeholder engagement, and the ability to influence across functions without direct reporting lines.",https://www.euroclimatejobs.com/job_display/288250/Chief_Project_Manager_Water_Access_and_Sustainability_Grundfos_Bjerringbro_Denmark,Environment | Hybrid | Project Manager,euroclimatejobs
288194,LNG Bunker Trader Europe,TotalEnergies,"Geneva, Switzerland",Posted 10 days ago,"As a trader in this space, you will require a strong understanding of industry trends, regulatory developments, customer dynamics and competitive positioning. The role requires agility, international exposure and the ability to operate effectively across multiple cultures and offices.",https://www.euroclimatejobs.com/job_display/288194/LNG_Bunker_Trader_Europe_TotalEnergies_Geneva_Switzerland,Oil and Gas | Trader,euroclimatejobs
288190,Sustainability Consultant,RINA,"Genoa, Italy",Posted 10 days ago,"At RINA Consulting S.p.A., as an Energy & Resource Efficiency Engineer, you will play a pivotal role supporting the engineering team dedicated to advancing innovative biofuels and Renewable Fuels of Non-Biological Origin (RFNBO) processes. This role emphasises delivering detailed technical analysis, problem-solving solutions, documentation, and calculations to assist in the transition towards more sustainable energy practices.",https://www.euroclimatejobs.com/job_display/288190/Sustainability_Consultant_RINA_Genoa_Italy,BioEnergy and BioFuel | Carbon Capture and Storage | Consultant | Environment,euroclimatejobs
288189,Investment Associate in Renewable Energies,Encavis,"Hamburg, Germany",Posted 10 days ago,Germany Business and Finance Hybrid Renewable Energy Solar Energy Wind Energy Encavis,https://www.euroclimatejobs.com/job_display/288189/Investment_Associate_in_Renewable_Energies_Encavis_Hamburg_Germany,Business and Finance | Hybrid | Renewable Energy | Solar Energy,euroclimatejobs
288110,Performance Engineer Adsorption,Climeworks,"Opfikon, Zurich, Switzerland",Posted 13 days ago,,https://www.euroclimatejobs.com/job_display/288110/Performance_Engineer_Adsorption_Climeworks_Opfikon_Zurich_Switzerland,Carbon Capture and Storage | Energy Engineer | Hybrid,euroclimatejobs
288109,Commercial Manager (Utility BESS),Trina Solar,"Home-based, Multiple Countries",Posted 13 days ago,Multiple Countries Business and Finance Remote Renewable Energy Sales and Marketing Solar Energy Trina Solar,https://www.euroclimatejobs.com/job_display/288109/Commercial_Manager_Utility_BESS_Trina_Solar_Home_based_Multiple_Countries,Business and Finance | Remote | Renewable Energy | Sales and Marketing,euroclimatejobs
288106,Senior Power Trader,Axpo,"Baden, Switzerland",Posted 13 days ago,,https://www.euroclimatejobs.com/job_display/288106/Senior_Power_Trader_Axpo_Baden_Switzerland,Hybrid | Renewable Energy | Trader,euroclimatejobs
288050,Group Energy Efficiency Project Manager,MOL Group,"Budapest, Hungary",Posted 14 days ago,,https://www.euroclimatejobs.com/job_display/288050/Group_Energy_Efficiency_Project_Manager_MOL_Group_Budapest_Hungary,Project Manager,euroclimatejobs
288049,System Process Engineer,Skytree,"Amsterdam, Netherlands",Posted 14 days ago,,https://www.euroclimatejobs.com/job_display/288049/System_Process_Engineer_Skytree_Amsterdam_Netherlands,Carbon Capture and Storage | Energy Engineer | Hybrid,euroclimatejobs
288048,Business Development Manager,Sunrock,"Düsseldorf, Germany",Posted 14 days ago,"As a Business Development Manager at Sunrock, you build long‑term energy partnerships that shape Germany’s industrial and real estate sectors. You act as a strategic sparring partner for developers, asset managers and sustainability teams, helping them navigate climate goals and future energy needs.",https://www.euroclimatejobs.com/job_display/288048/Business_Development_Manager_Sunrock_Dsseldorf_Germany,Business and Finance | Environment | Hybrid | Renewable Energy,euroclimatejobs
287971,Sales Engineer Energy,N-SIDE,"Louvain-La-Neuve, Belgium",Posted 15 days ago,"As a Sales Engineer Energy, you will bridge the gap between technical expertise and sales by effectively communicating the value of N-SIDE’s products and services to customers. Your role will involve understanding each customer’s unique needs, driving successful sales outcomes, and fostering long-term relationships.",https://www.euroclimatejobs.com/job_display/287971/Sales_Engineer_Energy_N_SIDE_Louvain_La_Neuve_Belgium,Electricity | Energy Engineer | Sales and Marketing,euroclimatejobs
287928,Project Controls Manager - Energy Sector,Turner & Townsend,"Amsterdam, Netherlands",Posted 16 days ago,"Project Controls Managers are responsible for the delivery of services on complicated projects (in the Benelux) typically of a value greater than €500M, and are specialised in the integration of; and/or specific delivery of one or more of the following disciplines: risk; cost; schedule; governance; quality assurance; performance management; data management and reporting. Project Controls services are used to provide the project owner with assurance and transparency pertaining to the execution of said project in accordance with prescribed objectives and/or KPIs.",https://www.euroclimatejobs.com/job_display/287928/Project_Controls_Manager_Energy_Sector_Turner_Townsend_Amsterdam_Netherlands,Project Manager,euroclimatejobs
287923,Senior Power System & Market Expert,N-SIDE,"Louvain-La-Neuve, Belgium",Posted 16 days ago,"As a Senior Power System & Market Expert, you will help N-SIDE thrive in the area of Energy Market Advisory and Power System Optimization. The successful candidate will contribute in delivering consulting and expert services for our clients, become a thought leader in market &system operation topics and contribute to business development around our grid and market solutions.",https://www.euroclimatejobs.com/job_display/287923/Senior_Power_System_Market_Expert_N_SIDE_Louvain_La_Neuve_Belgium,Business and Finance | Climate and Energy Analyst | Hybrid,euroclimatejobs
287921,Head of Engineering Thermal,Alpiq Group,"Milan, Italy",Posted 16 days ago,"Reporting into BU Head, you will lead a team to directly support technical management of Alpiq Thermal existing assets. You will support asset owners to maintain the assets and continuously improve availability and performance through upgrades, life extensions, repowering. You will oversee and steer engineering, project management and plant upgrades. You will create a common set of KPIs and procedures in the Business Unit and you will provide the BU Head with technical expertise to support decision making process. You will support the strategic growth ambition of the Business unit with deep technical analysis and due diligence on new assets.",https://www.euroclimatejobs.com/job_display/287921/Head_of_Engineering_Thermal_Alpiq_Group_Milan_Italy,Carbon Capture and Storage | Energy Engineer | Oil and Gas,euroclimatejobs
287860,Engineering Manager,Phlair,"Munich, Germany",Posted 17 days ago,,https://www.euroclimatejobs.com/job_display/287860/Engineering_Manager_Phlair_Munich_Germany,Carbon Capture and Storage | Energy Engineer | Environment,euroclimatejobs
287802,Principal Consultant - Climate & Sustainability in Banking Sector,ERM,"Utrecht, Netherlands",Posted 20 days ago,"You will advise senior executives, lead complex transformation programs, and help banks embed sustainability into their DNA—e.g. across lending practices, risk management, and product innovation. Your work will influence how financial institutions respond to climate change, nature-related risks, and the energy transition, while meeting regulatory expectations and creating measurable business value.",https://www.euroclimatejobs.com/job_display/287802/Principal_Consultant_Climate_Sustainability_in_Banking_Sector_ERM_Utrecht_Netherlands,Business and Finance | Consultant,euroclimatejobs
