job_id,title,company,location,posted,summary,job_url,tags,source
287684,Mechanical Engineer,Sereact,"Stuttgart, Germany",Posted 21 days ago,"We are looking for a talented mechanical engineer to design innovative systems and components for AI-driven robots. In this role, you'll create detailed 3D models and technical drawings for fabrication, collaborate closely with engineering teams to ensure seamless integration with electrical and software systems, conduct mechanical simulations and performance testing, and optimize designs for cost, efficiency, and manufacturability.",https://www.euroengineerjobs.com/job_display/287684/Mechanical_Engineer_Sereact_Stuttgart_Germany,Mechanical Engineer | Robotics Engineer,euroengineerjobs
287673,Process Engineer,Filtronic,"Sedgefield, United Kingdom",Posted 21 days ago,"This role is both strategic and hands-on. It requires deep technical expertise in semiconductor packaging and module assembly, combined with the ability to architect scalable manufacturing systems that transition seamlessly from technology development through NPI to high reliability volume production.",https://www.euroengineerjobs.com/job_display/287673/Process_Engineer_Filtronic_Sedgefield_United_Kingdom,Electronic Engineer | Mechanical Engineer,euroengineerjobs
287672,Senior Optical Engineer,THEON International,"Koropi, Greece",Posted 21 days ago,We are seeking to hire one full time Senior Optical Engineer with specialization in Instrumentation.,https://www.euroengineerjobs.com/job_display/287672/Senior_Optical_Engineer_THEON_International_Koropi_Greece,Defence Engineer | Electrical Engineer,euroengineerjobs
287667,Battery System Integration Senior Engineer,XPeng,"Munich, Germany",Posted 22 days ago,Germany Automotive Engineer Electrical Engineer Mechanical Engineer On-site XPeng,https://www.euroengineerjobs.com/job_display/287667/Battery_System_Integration_Senior_Engineer_XPeng_Munich_Germany,Automotive Engineer | Electrical Engineer | Mechanical Engineer,euroengineerjobs
287650,Project Manager,EP2C Energy,"Lorient, France",Posted 22 days ago,"We are looking for a Business Manager (M/F) for one of our clients in the industrial sector, based in Lorient.",https://www.euroengineerjobs.com/job_display/287650/Project_Manager_EP2C_Energy_Lorient_France,Energy Engineer | Mechanical Engineer | Project Manager,euroengineerjobs
287644,Senior Mechanical Engineer,THEON International,"Koropi, Greece",Posted 22 days ago,The Senior Mechanical Engineer will be a member of Theon Design & Development Department and will work together with a multidisciplinary team of engineers. She/He will work closely with the Mechanical design Engineering team and will contribute on the development of company's new products and the optimization of existing ones.,https://www.euroengineerjobs.com/job_display/287644/Senior_Mechanical_Engineer_THEON_International_Koropi_Greece,Defence Engineer | Mechanical Engineer,euroengineerjobs
287639,Electrical Engineer,DeltaQuad,"Duivendrecht, Netherlands",Posted 22 days ago,"As an Electrical Engineer at DeltaQuad, you take technical ownership of the design and integration of mission-critical electrical systems for advanced UAV platforms. You are responsible for defining the electrical architecture and integrating subsystems, including power distribution, avionics, C2, and GCS interfaces, sensors, and mission payloads, with a strong focus on reliability, safety, and scalable series production.",https://www.euroengineerjobs.com/job_display/287639/Electrical_Engineer_DeltaQuad_Duivendrecht_Netherlands,Aerospace Engineer | Drone Engineer | Electrical Engineer | Robotics Engineer,euroengineerjobs
287613,Lead System Integration Engineer,Stellantis,"Turin, Italy",Posted 22 days ago,Italy Automotive Engineer Computer Engineer Electrical Engineer Electronic Engineer Hybrid System Engineer Stellantis,https://www.euroengineerjobs.com/job_display/287613/Lead_System_Integration_Engineer_Stellantis_Turin_Italy,Automotive Engineer | Computer Engineer | Electrical Engineer | Electronic Engineer,euroengineerjobs
287612,BMS Controls Engineer,Rimac Automobili,"Oxfordshire, United Kingdom",Posted 22 days ago,We are looking for a skilled and motivated Battery Controls Engineer with expertise in model-based design (MBD) using MATLAB/Simulink and automatic code generation. You will be responsible for developing and deploying embedded control algorithms for battery management systems (BMS) and battery-powered systems across energy storage applications.,https://www.euroengineerjobs.com/job_display/287612/BMS_Controls_Engineer_Rimac_Automobili_Oxfordshire_United_Kingdom,Automotive Engineer | Electrical Engineer | Electronic Engineer | Hybrid,euroengineerjobs
287611,Mixed Signal Design Engineer,ADI - Analog Devices,"Limerick, Ireland",Posted 22 days ago,"As a Mixed Signal Design Engineer, you will be responsible for designing and developing mixed-signal integrated circuits, including ADCs, DACs, PLLs, and power management blocks. You'll work collaboratively with cross-functional teams to deliver robust mixed-signal solutions while growing your technical expertise. This role requires a good foundation in both analog and digital domains, with the ability to integrate these technologies to create high-performance semiconductor solutions.",https://www.euroengineerjobs.com/job_display/287611/Mixed_Signal_Design_Engineer_ADI_Analog_Devices_Limerick_Ireland,Computer Engineer | Electrical Engineer | Electronic Engineer,euroengineerjobs
287609,"Gas and Chemical Engineer, Facilities Engineering",ADI - Analog Devices,"Limerick, Ireland",Posted 22 days ago,"ADI is looking for a Gas & Chemicals engineer to support our Facilities team at our semiconductor manufacturing site in Limerick, IE. Successful candidate will provide engineering expertise to operations and maintenance team as well as design and project oversight for a multitude of facilities systems and projects for Bulk & Special Gas & Chemical Storage, Delivery & Treatment/Removal on our semiconductor manufacturing site in Limerick IE. The successful candidate will also offer support to Gas & Chemical systems supporting leading edge technology development and would also get opportunities in other disciplines beyond core Gas & Chemistry responsibilities.",https://www.euroengineerjobs.com/job_display/287609/Gas_and_Chemical_Engineer_Facilities_Engineering_ADI_Analog_Devices_Limerick_Ireland,Chemical Engineer | Mechanical Engineer,euroengineerjobs
287585,Electronic Design Engineer,Flex,"Kalmar, Sweden",Posted 23 days ago,"Flex Power Modules, a business line of Flex, is a leading design and solution provider of scalable DC/DC power converters primarily serving the data processing, communications, industrial and transportation markets. Offering a wide range of both isolated and non-isolated solutions, its digitally enabled DC/DC converters include PMBus compatibility supported by the powerful Flex Power Designer. We’re offering solutions for various markets, such as telecom, RFPA, Datacom, and industrial. Further information can be found at flexpowermodules.com or on LinkedIn.",https://www.euroengineerjobs.com/job_display/287585/Electronic_Design_Engineer_Flex_Kalmar_Sweden,Electrical Engineer | Electronic Engineer,euroengineerjobs
287547,Process Engineering Lead - NPI,AbbVie,"Westport, Ireland",Posted 23 days ago,"The Process Engineering lead - NPI will report to the Director of the Tech Center business unit and be responsible for the Site New Product Introduction Programs. This position has responsibility for providing direct oversight, management, and leadership with minimal technical or administrative guidance, as well as responsibility for all aspects of technical process support such as but not limited to project management, process monitoring and validation programs within the site.",https://www.euroengineerjobs.com/job_display/287547/Process_Engineering_Lead_NPI_AbbVie_Westport_Ireland,Industrial Engineer,euroengineerjobs
